algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
SPEA2,45 18 35 93 23 85,MAKARNA SALATASI | ELMA SUYU | KAYISI SUYU | YOĞURT B | HAŞLANMIŞ YUMURTA | TAVADA YUMURTA,170.0,300.0,True,216.9288,8,False,2000.0,2400.0,True,2020.359,user1_spea2_nodiversity_sample_menus,20.0,9999.0,True,22.5375,10,0,185 126 368 302,ETSİZ KEREVİZ | BROKOLİ SALATASI LD | TAS KEBABI | MUZ,28.5,21.3,38.7,281.0,0.0,40.0,100.0,True,88.3138,1,1500.0,2300.0,True,1723.912,1,user_gamma_3991,False,0
SPEA2,60,PATATESLİ YUFKA BÖREĞİ,170.0,300.0,True,264.6753,6,False,2000.0,2400.0,True,2089.5732,user1_spea2_nodiversity_sample_menus,20.0,9999.0,True,25.1443,7,0,343 328 138 354 197 348,SEBZE GARNİTÜR (HAŞLANMIŞ) LD | PİRİNÇLİ HAVUÇ ÇORBASI | CEVİZLİ TEL KADAYIF | SOSLU MAKARNA | EZOGELİN ÇORBASI LD | SEBZELİ HİNDİ ROSTO KÖFTE,31.2,17.65,42.4,435.0,0.0,40.0,100.0,True,77.3141,2,1500.0,2300.0,True,1576.415,1,user_gamma_3991,False,0
SPEA2,25 39 29 44 31,HAVUÇ SUYU | KREP | INCİR REÇELİ | LOR PEYNİRİ | ISPANAKLI KOL BÖREĞİ,170.0,300.0,True,249.2262,9,False,2000.0,2400.0,True,2278.096,user1_spea2_nodiversity_sample_menus,20.0,9999.0,True,38.7183,9,0,196 285 172 258,ETSİZ TÜRLÜ | MALTA ERİĞİ | ETSİZ BARBUNYA | KIYMALI KABAK DOLMASI,34.0,21.67,46.2,440.0,0.0,40.0,100.0,True,67.108,3,1500.0,2300.0,True,1702.717,1,user_gamma_3991,False,0
